slat,slon,pdate
43.058930000000004,-69.38719,2017-05-10 10:39:34
42.34007,-70.07429,2017-12-08 12:02:05
42.196369999999995,-70.183,2016-11-25 14:44:46
43.10224,-69.352,2017-05-10 11:58:05
42.26016,-69.593,2017-12-08 14:12:40
42.28029000000001,-70.05149,2016-11-25 17:27:09
43.13094,-69.40886,2017-05-10 13:27:40
42.33754,-70.09035,2016-11-25 19:18:31
43.12522,-69.48487,2017-05-10 14:49:05
42.15709,-70.01723,2017-12-08 17:43:35
42.39171,-70.12061,2016-11-25 20:41:35
43.17416,-69.50119,2017-05-10 16:33:34
42.10978,-70.0442,2017-12-08 19:11:58
43.0737,-70.09497999999999,2016-11-26 12:18:47
43.19184,-69.54745,2017-05-10 17:49:27
42.11545,-70.08549,2017-12-08 20:19:35
43.228609999999996,-69.40906,2017-05-10 20:14:40
42.59116,-70.14339,2016-11-26 16:57:32
43.275600000000004,-69.33433,2017-05-10 21:45:48
42.518879999999996,-70.08036,2016-11-26 19:09:58
43.28877000000001,-69.57715,2017-05-11 10:03:22
42.18683,-70.36849000000001,2017-12-09 13:06:15
42.439840000000004,-70.07599,2016-11-26 20:45:55
43.234440000000006,-70.01181,2017-05-11 13:20:21
42.21930999999999,-70.32162,2017-12-09 14:28:49
43.185410000000005,-70.03008,2017-05-11 14:34:18
42.224790000000006,-70.39408999999999,2017-12-09 16:22:00
42.20862,-70.37363,2016-11-28 12:33:31
43.17705,-70.11247999999999,2017-05-11 16:03:51
42.36298,-70.33184,2017-12-15 14:34:31
42.37156,-70.27749,2016-11-28 17:49:27
42.39367,-70.28481,2017-05-16 12:46:02
42.47714,-70.27789,2017-12-15 16:53:33
42.45429,-70.23516,2016-11-28 20:02:57
42.46956,-70.23519,2017-05-16 14:58:31
42.51586,-70.26595999999999,2017-12-15 18:03:51
42.489740000000005,-70.2377,2016-11-28 21:15:52
42.4437,-70.33552,2017-05-16 17:03:16
43.021229999999996,-70.16356999999999,2017-12-15 20:29:54
42.508419999999994,-70.35798,2017-05-16 18:40:18
43.16906,-70.08017,2017-12-16 15:03:42
42.21888,-70.38663,2016-12-07 12:31:10
42.52352,-70.28067,2017-05-16 20:14:35
43.22781,-70.01623,2017-12-16 17:14:03
42.22172,-70.343,2016-12-07 15:32:25
42.55964,-70.23273,2017-05-16 21:30:06
43.252849999999995,-69.50140999999999,2017-12-16 19:11:10
42.1928,-70.29515,2016-12-07 16:59:07
43.17255,-69.33631,2017-12-17 14:33:58
42.17525,-70.33404,2016-12-07 19:09:52
42.58952,-70.19295,2017-05-17 10:14:50
43.10563,-69.33983,2017-12-17 16:16:43
42.52592,-70.09885,2017-05-17 11:58:41
43.11473,-69.41564,2017-12-17 18:27:37
42.5309,-70.04262,2017-05-17 13:14:41
43.06853,-69.45271,2017-12-17 20:03:36
41.575959999999995,-70.22716,2016-12-13 13:32:18
42.45109,-70.01006000000001,2017-05-17 15:09:42
43.03643,-69.44823000000001,2017-12-17 21:08:49
41.52733,-70.22694,2016-12-13 14:59:29
42.341080000000005,-70.04322,2017-05-17 18:14:16
43.13051,-69.50594,2017-12-18 11:48:43
41.53085,-70.13132,2016-12-13 16:30:58
42.25786,-70.19369999999999,2017-05-17 20:44:38
43.11821,-69.55534,2017-12-18 13:11:37
42.03116,-70.21151,2016-12-13 18:51:36
43.06888,-69.53285,2017-12-18 14:44:40
42.069520000000004,-70.14604,2016-12-13 20:10:07
42.1926,-70.41967,2017-05-23 10:52:52
43.02281,-69.55878,2017-12-18 16:28:55
42.0348,-70.01249,2016-12-14 12:11:10
42.2449,-70.4761,2017-05-23 12:17:57
42.22204,-69.44664,2016-12-14 16:18:18
42.30517,-70.4365,2017-05-23 13:54:19
42.22967,-70.32333,2018-01-03 13:22:59
42.262190000000004,-69.4528,2016-12-14 17:40:36
42.31573,-70.34555999999999,2017-05-23 15:19:45
42.204679999999996,-70.38279,2018-01-03 17:50:11
42.29354,-69.49363,2016-12-14 19:34:34
42.24557,-70.31244,2017-05-23 16:55:48
42.255649999999996,-70.24579,2016-12-20 12:28:54
42.05704,-70.32062,2017-06-10 10:46:57
42.32184,-70.22109999999999,2018-01-10 14:17:45
42.30886,-70.22246,2016-12-20 14:10:52
41.482020000000006,-70.24110999999999,2017-06-10 14:05:10
42.33955,-70.25188,2018-01-10 16:12:48
42.32511,-70.05859000000001,2016-12-20 16:48:36
41.508869999999995,-70.17974,2017-06-10 15:16:22
42.34174,-70.18735,2018-01-10 18:14:11
42.37459,-69.5864,2016-12-20 18:30:09
41.54984,-70.12175,2017-06-10 16:32:23
42.30018,-70.08888,2018-01-10 20:17:16
42.399179999999994,-70.03347,2016-12-20 20:03:24
42.3086,-69.58215,2018-01-11 12:13:57
42.407489999999996,-70.06824,2016-12-20 20:52:20
42.05298,-70.2045,2017-06-10 20:09:35
42.25429,-70.00046,2018-01-11 13:54:20
42.428779999999996,-70.41909,2016-12-21 12:28:21
42.07304,-70.15477,2017-06-10 21:12:06
42.16034,-70.03247,2018-01-11 16:29:57
42.102030000000006,-70.02453,2018-01-11 18:24:19
42.56109000000001,-69.5758,2017-06-12 16:16:29
42.12014,-70.09148,2018-01-11 20:05:26
43.08811,-70.19131,2016-12-21 20:02:23
43.07928,-69.57451,2017-06-12 18:26:04
42.12162,-70.13706,2018-01-11 21:08:00
43.093230000000005,-70.00507999999999,2017-06-12 20:00:44
41.55593,-70.09764,2018-01-12 12:04:11
43.140829999999994,-70.02707000000001,2016-12-22 14:16:21
43.12137,-70.09313,2017-06-12 21:33:10
41.492169999999994,-70.24601,2018-01-12 14:43:59
43.11096,-69.52177,2016-12-22 16:09:22
43.11855,-70.16194,2017-06-12 23:05:21
41.57424,-70.21833,2018-01-12 16:26:06
43.0489,-69.53723,2016-12-22 17:59:37
43.18371,-70.12637,2017-06-13 10:39:31
42.59082,-69.57013,2016-12-22 19:45:37
43.211000000000006,-70.06770999999999,2017-06-13 11:53:15
42.01163,-70.27100999999999,2018-01-12 17:55:52
43.244679999999995,-70.14259,2017-06-13 13:54:00
42.01991,-70.34497999999999,2018-01-12 19:45:10
42.31704,-70.33625,2016-12-28 13:52:04
43.2733,-70.11129,2017-06-13 15:22:18
42.31716,-70.27523000000001,2016-12-28 15:12:44
